,,,,,,,,,,,,"Info from char inventory window, minus equipped main- or off-hand weapon stats (a bug messes things up if you unequip just one):",,,,Char Hit:,,8,Char 1H Dmg:,,,11,Target Armor Mitigation %:,,,,,,33,,,"This sheet uses the math from the forum thread ""DPS'n Advice"", which is complex and highly context-dependent. In particular for dual wield, you must enter character stats without the main or off-hand weapon stats, separately, for the DPS calculations of each to be correct. Once you know the best main/off-hand weapon for each hand, you can add their DPS numbers up.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Char Haste:,,53,Char Pen:,,0,Char 2H Dmg:,,,40,Offhand Attack Proc %:,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Char Positional:,,43,Char Rng Dmg:,,,0,Main-Hand Weapon Attack Delay:,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skill,Recipe Name,Flux,Flux Level,Comp 1,Comp 1 Lvl,Comp 2,Comp 2 Lvl,Comp 3,Comp  3 Lvl,Comp 4,Comp 4 Lvl,Weapon Name,Lvl,Tier,Role,Type,HH,OHAC,Dmg Min,Dmg Max,Delay,Haste,Hit,Pen,Pos,Dmg,Char Dmg,"""Base"" Avg Dmg/Atk",Stats Avg Dmg/Atk,"""Raw"" AA DPS",Stats AA DPS,OH Raw AA DPS,OH Stats AA DPS,Best Avg Dmg/Atk,Worst Avg Dmg/Atk,Best OHAC/Atk,Worst OHAC/Atk,Best AA DPS,Worst AA DPS,OH Best AA DPS,OH Worst AA DPS,Pos Order,Front Stat,Front Amt,Front %,Front Val,Front Avg Dmg/Atk,Front AA DPS,OH Front AA DPS,Side Stat,Side Amt,Side %,Side Val,Side Avg Dmg/Atk,Side AA DPS,OH Side AA DPS,Rear Stat,Rear Amt,Rear %,Rear Val,Rear Avg Dmg/Atk,Rear AA DPS,OH Rear AA DPS,Combat Mov.,Block,Block Value,Parry,Riposte,Other Stats,Source,Note
,,,,,,,,,,,,"""Chatty"" Corvin's Silencer",25,4 Relic,DefSup,Mace-1H,1H,,15,24,4,,14,4,,3,11,19.50,14.17,7.46,6.00,0.00,0.00,17.28,11.40,0.00,0.00,9.09,6.00,0.00,0.00,RF,Dmg,3,100,46,16.01,8.42,0.00,,,,0,11.40,6.00,0.00,Dmg,5,125,58.75,17.28,9.09,0.00,,,,,,–,Puzzling Inheritance,
,,,,,,,,,,,,"""Fishing"" Pole",25,6 Legacy,Sup,Staff,2H,,16,25,5,,,,,,40,20.50,13.90,6.27,5.95,0.00,0.00,17.11,13.19,0.00,0.00,7.72,5.95,0.00,0.00,R,,,,0,13.19,5.95,0.00,,,,0,13.19,5.95,0.00,Dmg,20,50,41.5,17.11,7.72,0.00,25,,15-25,,,–,"Exile Fisher?, Redshore",
,,,,,,,,,,,,Abyssal Hammer,15,4 Relic,DefSup,Mace-1H,1H,,6,24,5,,,11,,,11,15.00,10.72,4.59,3.64,0.00,0.00,9.56,8.51,0.00,0.00,4.09,3.64,0.00,0.00,F,Hit,30,125,83.75,9.56,4.09,0.00,,,,0,8.51,3.64,0.00,,,,0,8.51,3.64,0.00,,,,,,???,"Prospector Neels, Central Veins 2",
,,,,,,,,,,,,Ambling Arm,30,6 Legacy,Def,Polearm,2H,,11,47,6,,,,,15,40,29.00,22.61,7.40,7.77,0.00,0.00,23.77,23.77,0.00,0.00,7.77,7.77,0.00,0.00,,,,,0,23.77,7.77,0.00,,,,0,23.77,7.77,0.00,,,,0,23.77,7.77,0.00,,,10-20,19,25,–,"Ambling Mangrove, Redshore",
,,,,,,,,,,,,Amos's Shaped Longbow,20,5 Mythic,Str,Bow-L,Rng,,9,33,6,,9,,,6,0,21.00,,5.36,3.90,0.00,0.00,0.00,0.00,0.00,0.00,5.32,3.90,0.00,0.00,SR,,,,0,0.00,3.90,0.00,Pen,20,125,73.75,0.00,5.32,0.00,Hit,15,100,58,0.00,4.23,0.00,,,,,,–,Quest: The Woodshaper's Request,
,,,,,,,,,,,,Ancient Bear Bone Short Bow,5,5 Mythic,Str,Bow-S,Rng,,6,14,4,,,9,,,0,10.00,7.08,3.83,2.71,0.00,0.00,6.76,5.01,0.00,0.00,3.65,2.71,0.00,0.00,SR,,,,0,5.01,2.71,0.00,Pen,20,125,73.75,6.76,3.65,0.00,Hit,15,100,58,5.45,2.94,0.00,,,,,,–,Hallick's Tower,
