Skill,Recipe Name,Flux Quality,Flux Level,Waste of Flux,Trap Combo,Component 1,Component 1 Level,Component 2,Comp 2 Level,Component 3,Comp 3 Level,Product Name,Tier,Role,Item Level,Category,Slot / Type,Weight,AC,AC:Weight,Durability,Health Regen,Stam Regen,Healing,Haste,Hit,Penetration,Combat Mov.,Resilience,Positional,1H Dmg,2H Dmg,Rng Dmg,Damage %,DiceMod,Avoid,PDR,MDR,CDR,EDR,PDBR,MDBR,CDBR,EDBR,MoveD Resist,Stun Resist,Daze Resist,Conf Resist,Threat,Block,Block Value,Parry,Riposte,Other Stats,Done?,Source,Set,Notes
Armorsmith,Imb. Copper Chain Hauberk,Rad,25,FALSE,FALSE,01/Copper,40,01/Linen,40,01/Linen,40,"(Boreal Linen, Boreal Linen) Lined Northern Copper Hauberk",5 Mythic,Any,40,Armor,Chest,0,34,n/a,5626,54,6,,,,,15,,,,,,,,,,3,,3,,,,,,,,,,,,,,,,Crafted,,
Armorsmith,Imb. Copper Chain Hauberk,Rad,50,FALSE,FALSE,01/Copper,40,01/Linen,40,01/Linen,40,"(Boreal Linen, Boreal Linen) Lined Northern Copper Hauberk",5 Mythic,Any,50,Armor,Chest,0,40,n/a,7376,54,6,,,,,15,,,,,,,,,,3,,3,,,,,,,,,,,,,,,,Crafted,,
Armorsmith,Imb. Copper Chain Hauberk,Rad,25,FALSE,FALSE,01/Copper,40,01/Linen,40,05/Mandrake,50,"(Boreal Linen, Lively Mandrake) Lined Northern Copper Hauberk",5 Mythic,Any,50,Armor,Chest,0,43,n/a,6918,36,12,,,,,9,,,,,,,,,,3,,3,,,,,,,,,,,,,,,,Crafted,,
Armorsmith,Imb. Copper Chain Hauberk,Rad,45,FALSE,FALSE,01/Copper,40,01/Linen,40,05/Mandrake,50,"(Boreal Linen, Lively Mandrake) Lined Northern Copper Hauberk",5 Mythic,Any,50,Armor,Chest,0,43,n/a,6918,36,15,,,,,9,,,,,,,,,,3,,3,,,,,,,,,,,,,,,,Crafted,,
,,,,,,,,,,,,Ancient Bear Fur Helm,5 Mythic,Any,5,Armor,Head,8,23,2.9,,,,,,,,,,3,,,,,,,,,,,,,,,,,3,,,,,,,–,,,,
,,,,,,,,,,,,Ancient Bear Fur Vambrace,5 Mythic,Any,5,Armor,Vambrace,2,7,3.5,,,,,,,,,,3,,,,,,,,,,,,,,,,,3,,,,,,,–,,,,
Armorsmith,Imb. Copper Chain Hauberk,Rad,50,FALSE,FALSE,01/Copper,40,01/Linen,40,05/Mandrake,50,"(Boreal Linen, Lively Mandrake) Lined Northern Copper Hauberk",5 Mythic,Any,50,Armor,Chest,0,43,n/a,6918,36,18,,,,,9,,,,,,,,,,3,,3,,,,,,,,,,,,,,,,Crafted,,
Armorsmith,Imb. Copper Chain Hauberk,Rad,25,FALSE,FALSE,01/Copper,40,01/Linen,40,05/Silk,45,"(Boreal Linen, Ductile Silk) Lined Northern Copper Hauberk",5 Mythic,Any,40,Armor,Chest,0,34,n/a,5168,36,12,3,,,,9,,,,,,,,,,3,,3,,,,,,,,,,,,,,,,Crafted,,
Armorsmith,Imb. Copper Chain Hauberk,Rad,35,FALSE,FALSE,01/Copper,40,01/Linen,40,05/Silk,45,"(Boreal Linen, Ductile Silk) Lined Northern Copper Hauberk",5 Mythic,Any,40,Armor,Chest,0,34,n/a,5168,36,12,6,,,,9,,,,,,,,,,3,,3,,,,,,,,,,,,,,,,Crafted,,
Armorsmith,Imb. Copper Chain Hauberk,Rad,45,FALSE,FALSE,01/Copper,40,01/Linen,40,05/Silk,45,"(Boreal Linen, Ductile Silk) Lined Northern Copper Hauberk",5 Mythic,Any,40,Armor,Chest,0,34,n/a,5168,36,12,6,,,,9,,,,,,,,,,3,,3,,,,,,,,,,,,,,,,Crafted,,
Armorsmith,Imb. Copper Chain Hauberk,Rad,50,FALSE,FALSE,01/Copper,40,01/Linen,40,05/Silk,45,"(Boreal Linen, Ductile Silk) Lined Northern Copper Hauberk",5 Mythic,Any,50,Armor,Chest,0,34,n/a,5168,36,12,6,,,,9,,,,,,,,,,3,,3,,,,,,,,,,,,,,,,Crafted,,
Armorsmith,Imb. Copper Chain Hauberk,Rad,25,FALSE,FALSE,01/Copper,40,01/Linen,40,10/Cotton,50,"(Boreal Linen, Summit Cotton) Lined Northern Copper Hauberk",5 Mythic,Any,50,Armor,Chest,0,43,n/a,6918,36,6,,,,,9,3,,,,,,,,,9,,3,,,,,,,,,,,,,,,,Crafted,,
