Item Name,Item Level,Role,Tier,Slot / Type,Health Regen,Stam Regen,Healing,Haste,Hit,Penetration,Positional,1H Dmg,2H Dmg,Rng Dmg,Damage %,DiceMod,PDR,MDR,CDR,EDR,PDBR,MDBR,CDBR,EDBR,Combat Mov.,MoveD Resist,Avoid,Resilience,Stun Resist,Daze Resist,Conf Resist,Threat,Block,Block Value,Parry,Riposte,Duration (min),Other Stats,Source (Mob/Quest/Crafted),Set,Notes,Craft Skill,Signature,Recipe Name,Bad Combo,Comp 1,Comp 1 Level,Comp 2,Comp 2 Level,Flux Quality,Flux Level
Newhaven Copper Flecked Malachite Earring,1,Any,5 Mythic,Earring,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,Crafted,,,Tinkerer,01/Malachite@1:01/Copper@1:05,Imb. Malachite Earring,,01/Malachite,01,01/Copper,01,Rad,05
Flatlands Tin Flecked Malachite Earring,10,Any,5 Mythic,Earring,,,,,,,,,,,,,,,,,,4,,,,,,,4,,4,,,,,,,,Crafted,,,Tinkerer,01/Malachite@1:10/Tin@10:05,Imb. Malachite Earring,,01/Malachite,01,10/Tin,10,Rad,05
Flatlands Tin Flecked Malachite Earring,10,Any,5 Mythic,Earring,,,,,,,,,,,,,,,,,,4,,,,,,,4,,4,,,,,,,,Crafted,,,Tinkerer,01/Malachite@1:10/Tin@10:15,Imb. Malachite Earring,,01/Malachite,01,10/Tin,10,Rad,15
Highlands Copper Sparkling Malachite Earring,20,Any,5 Mythic,Earring,,,,,,,,,,,,,,4,,,4,8,4,,,,,,4,4,4,,,,,,,,Crafted,,,Tinkerer,01/Malachite@20:01/Copper@20:05,Imb. Malachite Earring,,01/Malachite,20,01/Copper,20,Rad,05
Highlands Copper Sparkling Malachite Earring,20,Any,5 Mythic,Earring,,,,,,,,,,,,,,4,,,4,8,4,,,,,,4,4,4,,,,,,,,Crafted,,,Tinkerer,01/Malachite@20:01/Copper@20:15,Imb. Malachite Earring,,01/Malachite,20,01/Copper,20,Rad,15
Highlands Copper Sparkling Malachite Earring,20,Any,5 Mythic,Earring,,,,,,,,,,,,,,4,,,4,8,4,,,,,,4,4,4,,,,,,,,Crafted,,,Tinkerer,01/Malachite@20:01/Copper@20:25,Imb. Malachite Earring,,01/Malachite,20,01/Copper,20,Rad,25
Flatlands Tin Sparkling Malachite Earring,20,Any,5 Mythic,Earring,,,,,,,,,,,,,,,,,4,4,,,,,,,4,4,4,,,,,,,,Crafted,,,Tinkerer,01/Malachite@20:10/Tin@10:05,Imb. Malachite Earring,,01/Malachite,20,10/Tin,10,Rad,05
Flatlands Tin Sparkling Malachite Earring,20,Any,5 Mythic,Earring,,,,,,,,,,,,,,,,,4,4,,,,,,,4,4,4,,,,,,,,Crafted,,,Tinkerer,01/Malachite@20:10/Tin@10:15,Imb. Malachite Earring,,01/Malachite,20,10/Tin,10,Rad,15
Flatlands Tin Sparkling Malachite Earring,20,Any,5 Mythic,Earring,,,,,,,,,,,,,,,,,4,4,,,,,,,4,4,4,,,,,,,,Crafted,,,Tinkerer,01/Malachite@20:10/Tin@10:25,Imb. Malachite Earring,,01/Malachite,20,10/Tin,10,Rad,25
Outlands Tin Sparkling Malachite Earring,30,Any,5 Mythic,Earring,,,,,,,,,,,,,,,,,4,8,,,,,,,8,4,4,,,,,,,,Crafted,,,Tinkerer,01/Malachite@20:10/Tin@30:05,Imb. Malachite Earring,,01/Malachite,20,10/Tin,30,Rad,05
Outlands Tin Sparkling Malachite Earring,30,Any,5 Mythic,Earring,,,,,,,,,,,,,,,,,4,8,,,,,,,8,4,8,,,,,,,,Crafted,,,Tinkerer,01/Malachite@20:10/Tin@30:15,Imb. Malachite Earring,,01/Malachite,20,10/Tin,30,Rad,15
Outlands Tin Sparkling Malachite Earring,30,Any,5 Mythic,Earring,,,,,,,,,,,,,,,,,4,8,,,,,,,8,4,8,,,,,,,,Crafted,,,Tinkerer,01/Malachite@20:10/Tin@30:25,Imb. Malachite Earring,,01/Malachite,20,10/Tin,30,Rad,25
Outlands Tin Sparkling Malachite Earring,30,Any,5 Mythic,Earring,,,,,,,,,,,,,,,,,4,8,,,,,,,8,4,8,,,,,,,,Crafted,,,Tinkerer,01/Malachite@20:10/Tin@30:35,Imb. Malachite Earring,,01/Malachite,20,10/Tin,30,Rad,35
Highlands Zink Sparkling Malachite Earring,20,Any,5 Mythic,Earring,,,,,,,,,,,,,,4,,,8,4,,,,,,,4,4,4,,,,,,,,Crafted,,,Tinkerer,01/Malachite@20:20/Zink@20:05,Imb. Malachite Earring,,01/Malachite,20,20/Zink,20,Rad,05
Highlands Zink Sparkling Malachite Earring,20,Any,5 Mythic,Earring,,,,,,,,,,,,,,4,,,12,4,,,,,,,4,4,4,,,,,,,,Crafted,,,Tinkerer,01/Malachite@20:20/Zink@20:15,Imb. Malachite Earring,,01/Malachite,20,20/Zink,20,Rad,15
Highlands Zink Sparkling Malachite Earring,20,Any,5 Mythic,Earring,,,,,,,,,,,,,,4,,,12,4,,,,,,,4,4,4,,,,,,,,Crafted,,,Tinkerer,01/Malachite@20:20/Zink@20:25,Imb. Malachite Earring,,01/Malachite,20,20/Zink,20,Rad,25
Highlands Silver Sparkling Malachite Earring,20,Any,5 Mythic,Earring,,,,,,,,,,,,,,,,,4,4,4,,,,,,4,8,,,,,,,,,Crafted,,,Tinkerer,01/Malachite@20:25/Silver@25:05,Imb. Malachite Earring,,01/Malachite,20,25/Silver,25,Rad,05
Highlands Silver Sparkling Malachite Earring,20,Any,5 Mythic,Earring,,,,,,,,,,,,,,,,,4,4,8,,,,,,4,8,,,,,,,,,Crafted,,,Tinkerer,01/Malachite@20:25/Silver@25:15,Imb. Malachite Earring,,01/Malachite,20,25/Silver,25,Rad,15
Highlands Silver Sparkling Malachite Earring,20,Any,5 Mythic,Earring,,,,,,,,,,,,,,,,,4,4,8,,,,,,4,8,,,,,,,,,Crafted,,,Tinkerer,01/Malachite@20:25/Silver@25:25,Imb. Malachite Earring,,01/Malachite,20,25/Silver,25,Rad,25
Outlands Gold Sparkling Malachite Earring,30,Any,5 Mythic,Earring,,,,,,,,,,,,,,4,,,8,8,,,,,,,4,4,,,,,,,,,Crafted,,,Tinkerer,01/Malachite@20:30/Gold@30:05,Imb. Malachite Earring,,01/Malachite,20,30/Gold,30,Rad,05
Outlands Gold Sparkling Malachite Earring,30,Any,5 Mythic,Earring,,,,,,,,,,,,,,4,,,12,8,,,,,,,4,4,,,,,,,,,Crafted,,,Tinkerer,01/Malachite@20:30/Gold@30:15,Imb. Malachite Earring,,01/Malachite,20,30/Gold,30,Rad,15
Outlands Gold Sparkling Malachite Earring,30,Any,5 Mythic,Earring,,,,,,,,,,,,,,4,,,12,8,,,,,,,4,4,,,,,,,,,Crafted,,,Tinkerer,01/Malachite@20:30/Gold@30:25,Imb. Malachite Earring,,01/Malachite,20,30/Gold,30,Rad,25
Outlands Gold Sparkling Malachite Earring,30,Any,5 Mythic,Earring,,,,,,,,,,,,,,4,,,12,8,,,,,,,4,4,,,,,,,,,Crafted,,,Tinkerer,01/Malachite@20:30/Gold@30:35,Imb. Malachite Earring,,01/Malachite,20,30/Gold,30,Rad,35
Outlands Iron Sparkling Malachite Earring,30,Any,5 Mythic,Earring,,,,,,,,,,,,,,,,,4,4,,8,,,,,4,8,,,,,,,,,Crafted,,,Tinkerer,01/Malachite@20:35/Iron@35:25,Imb. Malachite Earring,,01/Malachite,20,35/Iron,35,Rad,25
Outlands Iron Sparkling Malachite Earring,30,Any,5 Mythic,Earring,,,,,,,,,,,,,,,,,4,4,8,,,,,,4,12,,,,,,,,,Crafted,,,Tinkerer,01/Malachite@20:35/Iron@35:35,Imb. Malachite Earring,,01/Malachite,20,35/Iron,35,Rad,35
